,R1_5,V2_1,V3_2,R1_4,R4_5,R7_1,V2_4,V4_1,V4_2,V4_4,R7_2,V1_1,V1_2,V3_1,R4_1,R7_4,R7_5,V3_3,V4_3,R1_1,R1_2,R4_2,V1_3,V3_4,V3_5,R4_3,V2_3,R1_3,R4_4,R7_3,V2_2,V4_5
00003c7d3f1293387eda81e2a9c5a624,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001d123420b59585627edf5a1292ae8,98,87,140,61,7,44,28,28,39,14,27,39,59,48,15,28,56,18,87,39,20,47,51,97,32,75,0,45,98,0,83,0
00076101fae09c4eda57430c7f2fe127,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000acebfb1291cc1c2f36ec9cae1982b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
001e85eceb53af82b32b73e99e956808,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001fb2eb7e40674435050b3e1d1c88fc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0022d5367e282c0d0973893543ad9517,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00286921d6d9ce59a8e8d82915e64be9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002887887c7fc79926b7390e3e8ee7de,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002ee889730778c34a8798a937f5e0f8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
003253a0a48e0b021ad09cee43fa1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
