,R4_1,R7_2,R7_3,V1_3,V2_2,V2_3,R1_2,V2_1,V2_4,R1_3,R1_5,R4_4,V3_2,V3_4,V4_1,R7_4,R7_5,V1_2,V3_3,V4_3,V4_5,R1_1,R1_4,R4_3,R4_5,V1_1,V3_1,R4_2,R7_1,V3_5,V4_2,V4_4
0000304eb66b2ea1aab2077c38b3f2a8,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001d123420b59585627edf5a1292ae8,40,19,28,39,45,87,60,10,41,60,38,74,13,57,55,52,35,71,0,36,12,43,21,20,33,22,62,0,37,34,52,38
0003b39d888ca46ca35a9e10b58ec4f8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0005860898cfad5681c76014b9c93cb0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0008c5d632494f76db69bc1afd825e89,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00098071481a618e5eeb1f6bec8bbc3f,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000efbd28aafb57cbc58741caa452813,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0016ca51fd2a1774711344199f1b1e58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001d5d02ea2d16d672a48bf0bad5d90e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
001ec6ca82741eb603218e01cf0fef7b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
