,day21_5,day3_4,day63_2,day7_1,day7_3,day3_1,day35_1,day63_1,day63_3,day3_5,day49_2,day49_5,day14_1,day14_2,day35_4,day49_3,day7_4,day3_2,day35_3,day49_4,day63_4,day7_5,day21_4,day14_3,day21_1,day21_2,day35_2,day49_1,day7_2,day14_4,day3_3,day63_5
0001d123420b59585627edf5a1292ae8,11,25,0,14,0,54,16,13,14,20,22,34,11,0,66,4,16,38,45,27,12,25,43,5,0,38,42,15,53,0,2,21
001153dd51a6fe6ab84b23d87ece8800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0014b7adfa1ce071bbee3e47be47ec5a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0015bf3f08caf7e3aa84e2b9c16d3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
001e0285ee0cbae407f9a2bd420d7601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
002887887c7fc79926b7390e3e8ee7de,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0030e64736fc31bda6e16506d5d2bda7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00360e9b675235e3ba5f1e6cf402cd73,0,0,8,6,0,0,9,17,40,0,30,28,0,0,22,56,0,0,20,57,0,43,31,0,7,10,20,50,12,0,0,0
0038e0a356ff2f9ee53f8317efbf83ef,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
003faae908fc964d9559d8532a156791,0,1,0,0,0,3,0,0,2,0,0,0,0,2,0,8,1,7,0,1,2,11,0,0,1,0,0,0,0,0,0,3
0046076798ea8fd176ca0266612faee6,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0050625213b1d2edaf3775f0ae56ce9c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
0050c5904e10a502c9fb0956fcb610ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
00526cc88c3c6714bbf938a1247486a9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
005e9441501beb7b9f28f33e826e817b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
005f981c876ddb2e3827edc8b52b6475,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0060f86cb849ce9821e28a0f32f84197,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006184174cbaae14490cd64440107579,0,0,0,2,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,4,0
0064721928ceeb91e7a056d127cf6b36,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00656fed0e75858bdcfad8eef25e3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
006658c3485ba1a67a0c66060944a8ff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0
006d706e32d65e8875d8ba8c260516ee,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
00725846ebf01ed56c09ddd8fb4fc2ef,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00765b60bcfbde002655c05ee76458b1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
